Quantity,RefDes,Value,Name,
24,"C1, C7, C8, C9, C12, C13, C16, C17, C18, C19, C21, C24, C26, C28, C29, C36, C37, C38, C39, C46, C47, C48, C49, C50",100n,C-USC0603 (C-US),
5,"C2, C11, C22, C23, C27",22u,CPOL-USC (CPOL-US),
3,"C3, C5, C14",22u,C-USC1206 (C-US),
2,"C4, C6",20p,C-USC0603 (C-US),
3,"C10, C15, C20",2.2u,C-USC0805 (C-US),
3,"C25, C51, C52",470n,C-USC0603 (C-US),
5,"C30, C32, C33, C40, C42",4.7n,C-USC0603 (C-US),
2,"C31, C41",470p,C-USC0603 (C-US),
4,"C34, C35, C43, C44",47p,C-USC0603 (C-US),
7,"C45, C53, C54, C55, C56, C57, C58",ESD,C-USC0603 (C-US),
1,D1,,MB1S,
1,D3,BAT54S,DIODE_2CACA-SOT23 (DIODE_2CACA-),
2,"D4, D5",1N4148,DIODE-SOD523 (DIODE-),
3,"F1, F2, F3",,FIDUCIAL1X2 (FIDUCIAL),
1,IC1,R-78E3.3-0.5,WE173950378,
1,IC2,STM32F405RGT6,STM32F20X,
1,IC3,LD2981ABU33,LD2981ABU (LD2981),
1,IC4,DAC8164ICPW,DAC8564,
2,"IC5, IC6",MCP6004,MCP6004,
1,IC7,OPA4171,OPA4171,
1,IC8,LM4040B10,LM4040B10,
1,IC9,LM324PW,TL074PW (TL074),
1,IC10,,TL074PW (TL074),
16,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16",,PJ301_THONKICONN6 (PJ301_THONKICONN),
1,JP1,,M04PTH (M04),
1,JP2,,M02PTH (M02),
1,JP3,M05X2PTH,euro power header 10 pin unshrouded,
1,L1,33u,L-USL2012C (L-US),
3,"L2, L3, L4",,WE-CBF_0603 (WE-CBF),
5,"LED1, LED2, LED3, LED4, LED5",W115WSURKMGKW,LED-BICOLOR-THROUGHHOLE2.54 (LED-BICOLOR-THROUGHHOLE),
7,"LED6, LED7, LED8, LED9, LED10, LED11, LED12",WP937EGW,LED-BICOLOR-SHARED-THROUGHHOLE,
1,Q1,8MHz,CRYSTAL,
2,"Q2, Q3",MMBT3904,-NPN-MMBT3904LT1SOT23-BEC (*-NPN-),
2,"R1, R5",39,R-US_R0603 (R-US_),
4,"R2, R3, R7, R8",100,R-US_R0603 (R-US_),
8,"R4, R13, R14, R16, R20, R21, R37, R38",10kB,POT_USVERTICAL_PS (POT_US),
6,"R6, R22, R23, R55, R56, R67",10k,R-US_R0603 (R-US_),
4,"R9, R11, R15, R19",2.2k,R-US_R0603 (R-US_),
5,"R10, R12, R17, R18, R36",1.5k,R-US_R0603 (R-US_),
18,"R24, R25, R26, R27, R32, R33, R34, R35, R43, R44, R60, R61, R64, R65, R66, R73, R76, R77",100k,R-US_R0603 (R-US_),
7,"R28, R29, R30, R31, R70, R71, R72",200k,R-US_R0603 (R-US_),
7,"R39, R40, R41, R42, R57, R58, R59",33k,R-US_R0603 (R-US_),
7,"R45, R46, R62, R63, R85, R86, R87",1.0k,R-US_R0603 (R-US_),
4,"R47, R48, R53, R54",23.7k,R-US_R0603 (R-US_),
3,"R49, R50, R75",39k,R-US_R0603 (R-US_),
3,"R51, R52, R69",56k,R-US_R0603 (R-US_),
1,R68,1.0k,R-US_R0603 (R-US_),
1,R74,150k,R-US_R0603 (R-US_),
4,"R78, R79, R80, R81",680,R-US_R0603 (R-US_),
3,"R82, R83, R84",180,R-US_R0603 (R-US_),
5,"SW3, SW4, SW5, SW6, SW7",,TAC_SWITCHPTH (TAC_SWITCH),
2,"U1, U2",,6mm Tactile SW LED,https://www.tme.eu/gb/details/pb6149l-1/keypad-switches/highly/#
207,,,,
